,BugID,Description,label,label_name
0,960869,Ctrl+Shift+Del to delete history  then Div not close when i close the Details Tab (GUI Bug),3,Immediate
1,1279541,Developer Tools Hang on Breakpoint during onblur,3,Immediate
2,1285780,Addon Debugger 48.0b6 problems,3,Immediate
3,1403799,Debugger - Breakpoints not working with source maps,3,Immediate
4,1413881,a bug in mozilla scratchpad with Arrays Concept,2,High
5,1418547,Programmatically inserted inline JS content scripts don't appear in DevTools Debugger,3,Immediate
6,1439683,Multiple graphical bugs on high refresh rate monitors,1,Medium
7,1452488,"Mac: even after bug 1419851 fix, WebRender ON uses more CPU than WebRender OFF for CSS animations",3,Immediate
8,1477391,Fetch Does not properly handle requests for media,3,Immediate
9,1494933,"Debugging extension after removing AMO version fails with ""item is null""",3,Immediate
10,1497106,Firefox hangs after closing remote debugger,3,Immediate
11,1498912,Websites notifications are not be displayed > Bug 1155505 Implement ToastNotification for Action Center on Windows 10,3,Immediate
12,1504591,Resize full screen get black skin border bug.,2,High
13,1511292,The site header prevents users from scrolling on mobile,1,Medium
14,1512592,Developer tool (F12) fills up the memory,2,High
15,1525256,Dev tools performance issues,0,Low
16,1528594,Developer tools debugger context menu shortcut missing plus char,3,Immediate
17,1536478,Event debugger can't take you to the correct line number when source is minified,3,Immediate
18,1481879,Sign-up email selection dialogue labels don't react to clicks,1,Medium
19,1534911,Page often loads with a different font,1,Medium
20,1503571,Description of parseFloat incorrect,1,Medium
21,1337867,"Color picker tool, lumilance is not updated when entering a hex color",2,High
22,1402619,HTTP Location header with 201 response,2,High
23,650091,Multiple Proxy-Authenticate headers order-dependency bug causes login popup with NTLM + Basic,1,Medium
24,749646,"Firefox NTLM bug with sending data by POST, content-length >=65535",3,Immediate
25,929077,Firebug reports blocking before the document is downloaded,2,High
26,974269,"cannot make panel background transparent after inserted into dom. if do, then cannot set border to none of it or child element",3,Immediate
27,1113135,"[Ubuntu Firefox] Crash Bug in 34.0 ""MessageChannel.cpp, line 1618"" (a long domain name in /etc/hosts?)",0,Low
28,1245928,Expose WEBGL_debug_renderer_info to unprivileged content in release builds,3,Immediate
29,1249117,Debugger lists about:neterror pages for iframes with domains prohibited via hosts (Win7),3,Immediate
30,1249155,Unprocessed Parameter CERT_PKIXVerifyCert,2,High
31,1258008,Tab bugged: CSS transitions and animations flickering,2,High
32,1261443,Boldface is buggy (looks awful),2,High
33,1262761,prettify source gets confused on this sample,3,Immediate
34,1262803,Debugger does not stop if breakpoint is in minified sources that are auto-prettified,3,Immediate
35,1264989,Debugger search box should show Ctrl+f instead of Crtl+P,3,Immediate
36,1271270,JS Debugger: Tooltip for variables should be like Firebug,3,Immediate
37,1277802,some javascripts files are invisible both in inspector and firebug,2,High
38,1278499,I experience rendering issues with FF Developer edition,0,Low
39,1286469,Firefox not sending the sessions cookie in JS Debugger,3,Immediate
40,1288697,Addon Debugger - simplify search and in file navigation,3,Immediate
41,1288824,Add context menu to append expression into watch panel,0,Low
42,1294036,TypeScript files do not show up in the debugger when relative sourcemap paths are provided,3,Immediate
43,1298111,Cannot toggle breakpoint in debugger if it is on current line,3,Immediate
44,1298693,Toolbox Debugger - left column of information blocks view,3,Immediate
45,1298695,Toolbox Debugger - Expand panels icon disappeared,3,Immediate
46,1307147,Gmail HTML Reply Text Box Text-Cursor Bug,2,High
47,1315644,Graphical bugs appears after updating to firefox 49,0,Low
48,1321957,Open source in debugger does not work for ChromePhp log,3,Immediate
49,1327011,It's too easy to accidentally pause debugger and let it switch scripts and slow down debugging process for a minute,3,Immediate
50,1327408,"Prettify in debugger, scratchpad and style editor shouldn't change lexemes (tokens)",3,Immediate
51,1327992,Debugger spends twice as much time to prettify long scripts (with 738839 symbols) - 100% performance regression,0,Low
52,1330291,Double click is not working on dropdownlist,2,High
53,1333282,Cannot debug scripts injected into the document,3,Immediate
54,1333381,Formatting a JS file does not work when disabling sourcemaps,3,Immediate
55,1334397,Evaled + Compiled scripts debugging (break on fist line/no break),3,Immediate
56,1334806,"Bug in the favorites. When I click on the favorites menu, all the letters become white then return to normal and the mouse move again white again.",2,High
57,1335613,SVG rendering bug -- weird pixels in antialiasing,2,High
58,1341264,array operation is too slow for big arrays,2,High
59,1344163,Show or allow to go to the component description when moving components while edit bug,1,Medium
60,1349730,CSS scroll snapping JavaScript scroll position change bug.,1,Medium
61,1354754,"""Product chooser to use when entering bugs"" doesn't seem to be 100% respected",0,Low
62,1354756,"Don't show ""follow"" button show_bug when user has a role in the bug",1,Medium
63,1355770,www.gnome.org and bugzilla.gnome.org are broken in Firefox 54 on Ubuntu 17.04,3,Immediate
64,1357747,"Add screenshot showing visual difference in text-rendering examples, from browser where there is a difference",1,Medium
65,1358031,Incorrect login info remembered by password manager when creating a bugzilla account,1,Medium
66,1361721,Subpixel rendering bug on DOM objects using CSS3 transforms,1,Medium
67,1369153,Bug 1363852 resurfaced - Firefox+Flash in Windows Display 150%,3,Immediate
68,1370417,es module bug with file:///,2,High
69,1375813,Devtools should not detach on refresh,2,High
70,1378248,"Debug/Test extensions is harder than in Chrome, due to Add-On ID issues",0,Low
71,1379136,Crash of Browser & Tab Bug with IndexedDB,3,Immediate
72,1387863,opening windows from custom xul app failes since firefox 53,3,Immediate
73,1392830,multithreaded use-after-free bugs in js::jit::CompileBackEnd,0,Low
74,1398002,<select> element mousedown bug in Firefox (Developer version 56.0b9 (64-bit) and current release version 55.0.3 (64-bit)),3,Immediate
75,1404245,Source map requests don't use stored HTTP basic auth credentials,3,Immediate
76,1417814,Slow performance when resizing images with CSS3,1,Medium
77,1418089,MSE video stream has noticable latency in 57.0 compared to 56.0.2,2,High
78,1419103,"Suspicious file ""allowed to download"" deleted when downloads are cleared",2,High
79,1419640,"Bad cert error message displays `<a id=""errorCode"" …` instead of an actual link",3,Immediate
80,1420687,Bug witg Replay player function on warcraftlogs.com (zoom and the player),2,High
81,1420875,"WebRender Mac: CSS fade animations stress CPU, even after bug 1419079 fixed",2,High
82,1421231,"""Don't play media until tab is clicked"" is bugged",3,Immediate
83,1430155,"nss library uses environ, which is not thread safe",2,High
84,1431779,Interwiki macro in Chinese should separate into tranditional (zh-TW) and simplified (zh-CN),2,High
85,1432438,"accent bug wich unicode characters and ""Open Sans"" font face",2,High
86,1433632,Live demos of animated canvas don't work with safari,3,Immediate
87,1445775,[sourcemaps] Unable to load from sourcemaps with relative source urls when using a source root,0,Low
